Citation Key,Title,One-Line Description,Domain,Organizational Structure,Operational Methodology
feng2025turbulence,turbulence.ai: an end-to-end AI Scientist for fluid mechanics,Three-stage multi-agent architecture automating CFD simulation and scientific manuscript generation,Fluid Mechanics,Sequential,Staged-Pipeline
ni2024mechagents,MechAgents: Large language model multi-agent collaborations can solve mechanics problems,Autonomous group chat system with self-correction and mutual correction loops for FEniCS simulations,Structural Mechanics,Orchestrated,Iterative-Feedback
cui2024large,Large Language Models based Multi-Agent Framework for Objective Oriented Control Design in Power Electronics,Manager agent coordinating functional agents for control system design in Modelica,Power Electronics,Orchestrated,Iterative-Feedback
ghafarollahi2024rapid,Rapid and Automated Alloy Design with Graph Neural Network-Powered LLM-Driven Multi-Agent Systems,Central assistant agent coordinating GNN-powered tools with reviewer feedback for alloy optimization,Materials Science,Networked,Iterative-Feedback
hu2024multi,A Multi-agent Framework for Materials Laws Discovery,Generation-translation-reflection pipeline using DFS for formula discovery,Materials Science,Networked,Iterative-Feedback
kant2025develop,Develop AI Agents for System Engineering in Factorio,VSM-based hierarchical system with continuous feedback loops in game environment,Systems Engineering,Orchestrated,Staged-Pipeline
ocker2025idea,From Idea to CAD: A Language Model-Driven Multi-Agent System for Collaborative Design,V-model mirroring workflow with RequirementsEngineer coordinating CAD and QA agents,CAD/Product Design,Sequential,Staged-Pipeline
tian2025multi,A Multi-Agent Framework Integrating Large Language Models and Generative AI for Accelerated Metamaterial Design,Supervisor-led three-step framework for metamaterial synthesis and fine-tuning,Materials Science,Orchestrated,Iterative-Feedback
ho2025marco,Marco: Configurable Graph-Based Task Solving and Multi-AI Agents Framework for Hardware Design,Group manager with configurable task graphs for hardware design automation,Circuit Design,Orchestrated,Graph-Routed
bogachov2025lightweight,A Lightweight Multi-Expert Generative Language Model System for Engineering Information and Knowledge Extraction,Orchestrator routing queries to domain-specific expert nodes,Knowledge Systems,Orchestrated,Graph-Routed
chen2025menter,MenTeR: A fully-automated Multi-agenT workflow for end-to-end RF/Analog Circuits Netlist Design,Meta agent orchestrating Chain-of-Stage reasoning with self-referential validation,Circuit Design,Orchestrated,Staged-Pipeline
youwai2025investigating,Investigating the Potential of Large Language Model-Based Router Multi-Agent Architectures for Foundation Design Automation,Router agent classifying tasks and directing to domain-expert agents,Structural Engineering,Orchestrated,Graph-Routed
jin2025closed,A Closed-Loop Multi-Agent Framework for Aerodynamics-Aware Automotive Styling Design,Collaborative sub-agents with search-reflect iterative loop for styling optimization,Automotive Design,Networked,Iterative-Feedback
liang2025automating,Automating Structural Engineering Workflows with Large Language Model Agents,Consultancy-style hierarchy with safety verification loops mirroring professional workflows,Structural Engineering,Orchestrated,Iterative-Feedback
xu2025engineering,Engineering.ai: A Platform for Teams of AI Engineers in Computational Design,Chief Engineer coordinating specialized agents through intelligent task decomposition,Multidisciplinary,Orchestrated,Iterative-Feedback
kumar2025toward,Toward Autonomous Engineering Design: A Knowledge-Guided Multi-Agent Framework,Knowledge graph-guided agents with continuous feedback loop between design and systems engineers,Aerospace Design,Orchestrated,Iterative-Feedback
guo2025multidisciplinary,A Multidisciplinary Design and Optimization (MDO) Agent Driven by Large Language Models,ReAct-based orchestration of designer/modeler/verifier agents with visual self-correction,Multidisciplinary,Networked,Iterative-Feedback
jin2025gridmind,GridMind: LLMs-Powered Agents for Power System Analysis and Operations,Agent coordinator managing specialized agents with reason-act-reflect validation loops,Power Systems,Orchestrated,Iterative-Feedback
liao2024autoforma,AutoForma: A Large Language Model-Based Multi-Agent for Computer-Automated Design,Four-stage sequential workflow from requirement analysis to CAD execution,CAD/Product Design,Sequential,Staged-Pipeline
ding2023designgpt,DesignGPT: Multi-Agent Collaboration in Design,Meeting room collaboration model simulating design firm roles with peer reflection,Product Design,Networked,Iterative-Feedback
mushtaq2025harnessing,Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,Coordinator agent managing task channel distribution to perspective experts,Engineering Education,Orchestrated,Staged-Pipeline
panta2025meda,MEDA: A Multi-Agent System For Parametric CAD Model Creation,Group chat manager with FSM-constrained transitions for CAD script generation,CAD/Product Design,Networked,Graph-Routed
wang2025llm,An LLM-enabled Multi-Agent Autonomous Mechatronics Design Framework,High-level planning agent coordinating domain specialists through sequential stages,Mechatronics,Orchestrated,Iterative-Feedback
ghafarollahi2025automating,Automating Alloy Design and Discovery with Physics-Aware Multimodal Multiagent AI,Group chat manager with planner-critic approval workflow for physics-aware simulations,Materials Science,Networked,Iterative-Feedback
ataei2025elicitron,Elicitron: A Large Language Model Agent-Based Simulation Framework for Design Requirements Elicitation,Serial agent generation with AOC chain for requirements gathering phases,Requirements Engineering,Sequential,Staged-Pipeline
chen2025cost,A Cost-Aware Multi-Agent System for Black-Box Design Space Exploration,Global evaluator coordinating local agents with cost-aware routing logic,Optimization,Networked,Graph-Routed
massoudi2025agentic,Agentic Large Language Models for Conceptual Systems Engineering and Design,LangGraph-orchestrated agents with generate-critique-evolve loop and design state graph,Systems Engineering,Orchestrated,Graph-Routed
elrefaie2025ai,AI Agents in Engineering Design: A Multi-Agent Framework for Aesthetic and Aerodynamic Car Design,Central controller delegating to styling/CAD/simulation agents in hybrid sequential-parallel workflow,Automotive Design,Sequential,Iterative-Feedback
navarro2025autonomous,Autonomous Multi-Agent AI Systems for Satellite Mission Design,Study manager orchestrating specialists with multi-agent debate and self-correction,Aerospace Design,Orchestrated,Graph-Routed
zhang2025desagent,DesAgent: A Multi-Agent Mechanical Design Method Based on Collaborative Large and Small Models,Hierarchical agents with SNS-Loop for semantic-numerical coordination,Mechanical Design,Sequential,Graph-Routed
