Citation Key,Title,Orchestration Framework,Organizational Structure (Original),Cognitive & Reasoning Protocols,Operational Methodologies (Original),State Representation & Memory,Modality,Number of Agents,Asimow Phase Coverage,Taxonomy: Org Structure,Taxonomy: Op Methodology,Structure_Inferred,Human_In_Loop
feng2025turbulence,turbulence.ai: an end-to-end AI Scientist for fluid mechanics,Custom (builds on OpenFOAMGPT 2.0),"Hierarchical, Collaborative, and Sequential (3-stage orchestrated pipeline)","Chain-of-Thought (CoT), Self-Reflection, Retrieval-Augmented Generation (RAG)","Closed Control Loop, Error-Driven Refinement, and Reflection Loop",Shared memory for specialized agents; Prompt Pool; Idea archive; Audit trail,"Text, CFD logs, Images (VLM), LaTeX, PDF",12,Analysis - Synthesis - Evaluation,Sequential,Staged-Pipeline,Yes,No
ni2024mechagents,MechAgents: Large language model multi-agent collaborations can solve mechanics problems,AutoGen,"Hierarchical, Collaborative, and Human in the Loop","Self-Correction, Mutual Correction, Goal Decomposition, Division of Labor",Self-Correction Loop and Mutual Correction via autonomous group chat,Continuous conversation (short-term); Vector embedding databases (long-term),"Text, Python code (FEniCS), PNG images, VTK files",2-7 (Variable),Analysis - Synthesis - Evaluation,Orchestrated,Iterative-Feedback,No,Yes
cui2024large,Large Language Models based Multi-Agent Framework for Objective Oriented Control Design in Power Electronics,AutoGen (Manager/Executor patterns),Hierarchical and Collaborative (Manager-functional agent model),"Problem Decomposition, Iterative Refinement, Task Planning",Refine-until-Success (Iterative refinement based on simulation errors),Context window management; Short-term memory via agent summaries,"Text, Modelica model files, Python code",6,Analysis - Synthesis - Evaluation,Orchestrated,Iterative-Feedback,Yes,Yes
ghafarollahi2024rapid,Rapid and Automated Alloy Design with Graph Neural Network-Powered LLM-Driven Multi-Agent Systems,AutoGen,"Hierarchical, Collaborative, and Human in the Loop","Goal Decomposition, Planning Mechanisms, Critiquing/Reviewing",Iterative Feedback Loop and Continuous Evaluation/Refinement,Core memory; JSON-formatted structural models,"Text, Multimodal data (GNN graphs), Images, CSV, STL",7,Analysis - Synthesis - Evaluation,Networked,Iterative-Feedback,No,Yes
hu2024multi,A Multi-agent Framework for Materials Laws Discovery,LangChain,Hierarchical and Collaborative (Generation-Translation-Reflection loop),"Depth-First Search (DFS), Self-Reflection, Tree-of-Thoughts (ToT), In-context Learning",Depth-First Search (DFS) and Reflection Mechanism,DFS trajectory memory; Long-term memory for best-performing formulas,"Text (mathematical formulas), numerical data, Python code",3,Analysis - Synthesis,Networked,Iterative-Feedback,Yes,No
kant2025develop,Develop AI Agents for System Engineering in Factorio,Custom (similar to Voyager),"Hierarchical, Collaborative, and Human in the Loop (VSM 5-level hierarchy)","Goal Decomposition, Long-horizon Planning, Memory Management",Viable System Model (VSM) 5-level Hierarchy and Continuous Feedback Loops,Recall systems; Memory management for long-horizon episodes,"Real-time 2D visualization, Text, JSON",2-5 (Variable),Analysis - Synthesis,Orchestrated,Staged-Pipeline,No,Yes
ocker2025idea,From Idea to CAD: A Language Model-Driven Multi-Agent System for Collaborative Design,Custom (Python/OpenAI SDK),"Hierarchical, Collaborative, Sequential, and Human in the Loop","Reflexion, Requirement Elicitation, Planning, Visual Verification Loops",V-Model Architecture and Iterative Validation Loop,Reflexion (internal feedback); Iterative validation loop,"Text, Sketches/Images, CAD code (CadQuery), STL files",3,Analysis - Synthesis,Sequential,Staged-Pipeline,Yes,Yes
tian2025multi,A Multi-Agent Framework Integrating Large Language Models and Generative AI for Accelerated Metamaterial Design,LangChain,"Hierarchical, Collaborative, and Sequential (Supervisor-led team hierarchy)","Multimodal Reasoning, Self-Correction, Pattern Decomposition, Reflection",Supervisor-Managed Iterative Feedback and Restart-at-Failure,Chat history (context window); Memory node within graph framework,"Text, Images (SEM, 2D/3D rendered), Latent space vectors",4-5,Analysis - Synthesis,Orchestrated,Iterative-Feedback,No,Yes
ho2025marco,Marco: Configurable Graph-Based Task Solving and Multi-AI Agents Framework for Hardware Design,AutoGen,"Hierarchical, Collaborative, and Hybrid (configurable dynamic/static task graphs)","ReAct, Planning, Task Decomposition, Memory Management",Graph-Based Task Solving (Static and Dynamic task graphs) and Optimization Loops,Agent-specific configurations with memory; Long-term memory; Chat History,"Text, Waveform data, Graph representations (TCRG)",1-6+ (Variable),Analysis - Synthesis,Orchestrated,Graph-Routed,No,Yes
bogachov2025lightweight,A Lightweight Multi-Expert Generative Language Model System for Engineering Information and Knowledge Extraction,LangGraph,Hierarchical and Collaborative (Orchestrator-expert node structure),"Knowledge Isolation, Retrieval-Augmented Generation (RAG), ReAct",Orchestrator-Expert Routing (Queries routed via nodes in graph),N/A (Stateless; each query is standalone),Text (engineering procedures/manuals),8,Analysis,Orchestrated,Graph-Routed,Yes,No
chen2025menter,MenTeR: A fully-automated Multi-agenT workflow for end-to-end RF/Analog Circuits Netlist Design,AutoGen,"Hierarchical, Collaborative, Sequential, and Human in the Loop","Chain-of-Thought (CoT), Chain-of-Stage (CoS), Tree of Thoughts (ToT), DA-RAG",Chain-of-Stage (CoS) and Self-Referential Validation,Context truncation; Memory management system (MemGPT-inspired),"Text, Diagram/Schematic topologies, Netlists, Simulation results",5+,Analysis - Synthesis,Orchestrated,Staged-Pipeline,Yes,Yes
youwai2025investigating,Investigating the Potential of Large Language Model-Based Router Multi-Agent Architectures for Foundation Design Automation,LangChain,"Hierarchical, Collaborative, and Human in the Loop (Router-based expert selection)","Chain-of-Thought (CoT), Task Classification (Routing), One-shot Learning",Intelligent Task Classification & Expert Selection and Designer-Checker workflow,Simple Memory; Contextual expertise in system prompts,"Text, JSON input/output, Web results",4+,Analysis,Orchestrated,Graph-Routed,No,Yes
jin2025closed,A Closed-Loop Multi-Agent Framework for Aerodynamics-Aware Automotive Styling Design,AutoGen,"Hierarchical, Collaborative, and Sequential (Closed-loop design-validation)","ReAct, Search-Reflect Loop, Reflexion, Planning",Closed-Loop Design-Validation and Search-Reflect Iterative Loop,Context Window Management within AutoGen orchestration loop,"Text, Sketches, 3D Point Clouds, Multi-view Images",6+,Analysis - Synthesis - Evaluation,Networked,Iterative-Feedback,No,No
liang2025automating,Automating Structural Engineering Workflows with Large Language Model Agents,AutoGen,"Hierarchical, Collaborative, and Sequential (mirrors engineering consultancy firms)","Chain-of-Thought (CoT), ReAct, Tree of Thoughts (ToT), RAG, Long-horizon Planning",End-to-End Design Workflow with Explicit Safety/Verification Loops,Structured Memory Manager; Analysis Results storage; JSON schemas,"Text, PDF (Building codes), Python scripts (OpenSeesPy), JSON",9,Analysis - Synthesis - Evaluation,Orchestrated,Iterative-Feedback,No,Yes
xu2025engineering,Engineering.ai: A Platform for Teams of AI Engineers in Computational Design,AutoGen (builds on OpenFOAMGPT 2.0),"Hierarchical, Collaborative, and Sequential (Chief Engineer coordinated)","Retrieval-Augmented Generation (RAG), Task Decomposition, Iterative Error Recovery",Leader-Orchestrated Framework and Intelligent Error Recovery with Checkpointing,Checkpointing (JSON/gzip); Project history storage; File-mediated exchange,"Text, STEP files, CSV, VTK, JSON, Docker logs",5,Analysis - Synthesis - Evaluation,Orchestrated,Iterative-Feedback,No,No
kumar2025toward,Toward Autonomous Engineering Design: A Knowledge-Guided Multi-Agent Framework,LangChain,"Hierarchical, Collaborative, Sequential, and Human in the Loop","Knowledge Graph Reasoning, Iterative Feedback Loops, Requirement Elicitation, Planning",Structured Iterative Design & Review Loops,Vector database; Knowledge Graph (CSV),"Text, PDF (Scientific articles), Images, CSV",3,Analysis - Synthesis - Evaluation,Orchestrated,Iterative-Feedback,No,Yes
guo2025multidisciplinary,A Multidisciplinary Design and Optimization (MDO) Agent Driven by Large Language Models,Custom,"Hierarchical, Collaborative, Sequential, and Human in the Loop (ReAct-style)","ReAct, Retrieval-Augmented Generation (RAG), Visual Self-Correction, Task Decomposition",Generate-Render-Correct Cycle and ReAct-style Tool Orchestration,RAG-based knowledge grounding; ReAct state via Thought-Action-Observation,"Text, CAD (parametric code), Images, FEA solver results",4,Analysis - Synthesis - Evaluation,Networked,Iterative-Feedback,No,Yes
